sr	scenario	group	MLE	Ac	NoEx	ER_MLE	ER_Ac	ER_NoEx
0.25	Base	PBT B	1763	1769	4242	1	0	54
0.25	Base	PBT C	1075	1074	3896	-1	-1	59
0.25	Base	pbtGroup1	270	270	272	0	0	8
0.25	Base	pbtGroup10	424	424	412	1	1	5
0.25	Base	pbtGroup12	510	510	489	-1	-1	1
0.25	Base	pbtGroup13	520	520	572	0	0	13
0.25	Base	pbtGroup14	666	666	644	-1	-1	2
0.25	Base	pbtGroup15	834	834	1190	-3	-3	24
0.25	Base	pbtGroup16	816	816	807	1	1	3
0.25	Base	pbtGroup17	969	969	962	0	0	7
0.25	Base	pbtGroup18	1430	1432	1592	1	1	17
0.25	Base	pbtGroup19	1091	1091	1234	-3	-3	17
0.25	Base	pbtGroup2	372	372	535	-1	-1	18
0.25	Base	pbtGroup20	1197	1197	1681	0	0	26
0.25	Base	pbtGroup21	1428	1428	1408	-1	-1	3
0.25	Base	pbtGroup22	1670	1673	4239	1	1	55
0.25	Base	pbtGroup23	1582	1584	1687	3	2	14
0.25	Base	pbtGroup25	3653	3647	6710	3	2	59
0.25	Base	pbtGroup3	303	303	303	-1	-1	-1
0.25	Base	pbtGroup4	427	427	404	-1	-1	2
0.25	Base	pbtGroup5	403	403	394	-1	-1	0
0.25	Base	pbtGroup6	338	338	333	0	0	7
0.25	Base	pbtGroup7	426	426	404	-1	-1	3
0.25	Base	pbtGroup9	439	439	426	-2	-2	-1
0.3	Base	GSI A	1688	1687	1684	2	2	-1
0.3	Base	GSI B	2127	2130	3506	4	4	-38
0.3	Base	GSI C	8781	8785	38289	2	2	-173
0.3	Base	GSIgroup1	986	986	984	1	1	-2
0.3	Base	GSIgroup10	9270	9288	17132	7	8	-90
0.3	Base	GSIgroup2	860	858	860	-1	-1	-2
0.3	Base	GSIgroup4	1947	1946	1976	-5	-5	-7
0.3	Base	GSIgroup5	1695	1693	1751	-1	0	-8
0.3	Base	GSIgroup7	2039	2039	2058	-1	-1	-5
0.3	Base	GSIgroup8	4571	4571	9317	-1	-1	-71
0.3	Base	PBT A	342	343	336	-1	-1	0
0.3	Base	PBT B	1598	1601	4257	3	2	55
0.3	Base	PBT C	879	879	3934	1	1	60
0.3	Base	pbtGroup1	251	251	250	0	0	7
0.3	Base	pbtGroup10	343	343	335	0	0	4
0.3	Base	pbtGroup12	372	372	364	0	0	3
0.3	Base	pbtGroup13	406	406	479	0	0	13
0.3	Base	pbtGroup14	543	543	531	0	0	3
0.3	Base	pbtGroup15	661	661	1166	-1	-1	26
0.3	Base	pbtGroup16	690	690	683	1	1	3
0.3	Base	pbtGroup17	776	776	756	-2	-2	5
0.3	Base	pbtGroup18	1141	1144	1226	-2	-2	14
0.3	Base	pbtGroup19	875	875	1137	0	0	20
0.3	Base	pbtGroup2	361	361	537	0	0	19
0.3	Base	pbtGroup20	1150	1150	1681	1	1	27
0.3	Base	pbtGroup21	1074	1075	1060	-1	-1	3
0.3	Base	pbtGroup22	1270	1272	3709	-2	-2	53
0.3	Base	pbtGroup23	1338	1341	1442	2	1	14
0.3	Base	pbtGroup25	3124	3137	5424	-5	-5	52
0.3	Base	pbtGroup3	280	280	280	0	0	0
0.3	Base	pbtGroup4	338	338	325	0	0	3
0.3	Base	pbtGroup5	358	358	350	-1	-1	0
0.3	Base	pbtGroup6	330	330	338	1	1	8
0.3	Base	pbtGroup7	318	318	319	1	1	5
0.3	Base	pbtGroup9	351	351	346	0	0	1
0.35	Base	GSI A	1380	1378	1393	-3	-2	-5
0.35	Base	GSI B	1967	1965	3848	-2	-2	-44
0.35	Base	GSI C	7444	7452	39262	-4	-4	-179
0.35	Base	GSIgroup1	856	857	843	3	3	1
0.35	Base	GSIgroup10	8611	8604	18068	-1	0	-98
0.35	Base	GSIgroup2	743	742	742	-2	-2	-2
0.35	Base	GSIgroup4	1414	1414	1419	0	0	-2
0.35	Base	GSIgroup5	1678	1677	1723	0	1	-7
0.35	Base	GSIgroup7	1806	1806	1816	0	0	-3
0.35	Base	GSIgroup8	3671	3670	7653	5	5	-65
0.35	Base	PBT A	285	286	280	-1	-1	0
0.35	Base	PBT B	1306	1311	3993	2	1	55
0.35	Base	PBT C	612	611	3783	0	0	60
0.35	Base	pbtGroup1	201	201	209	0	0	7
0.35	Base	pbtGroup10	301	301	290	-1	-1	4
0.35	Base	pbtGroup12	391	391	380	0	0	2
0.35	Base	pbtGroup13	368	368	455	0	0	13
0.35	Base	pbtGroup14	529	529	516	0	0	3
0.35	Base	pbtGroup15	621	621	1232	1	1	28
0.35	Base	pbtGroup16	608	608	600	0	0	2
0.35	Base	pbtGroup17	732	732	746	0	0	8
0.35	Base	pbtGroup18	973	973	1195	2	1	18
0.35	Base	pbtGroup19	825	825	1116	0	0	20
0.35	Base	pbtGroup2	284	284	474	-1	-1	18
0.35	Base	pbtGroup20	987	987	1365	-3	-3	23
0.35	Base	pbtGroup21	893	893	893	1	1	4
0.35	Base	pbtGroup22	1158	1158	3908	1	1	56
0.35	Base	pbtGroup23	1085	1087	1125	-1	-2	10
0.35	Base	pbtGroup25	2635	2633	5883	3	3	60
0.35	Base	pbtGroup3	249	249	249	-2	-2	-2
0.35	Base	pbtGroup4	256	256	248	0	0	3
0.35	Base	pbtGroup5	280	280	275	0	0	1
0.35	Base	pbtGroup6	258	258	267	0	0	7
0.35	Base	pbtGroup7	330	330	323	0	0	4
0.35	Base	pbtGroup9	321	321	318	1	1	2
0.4	Base	GSI A	1194	1193	1208	-2	-2	-5
0.4	Base	GSI B	1558	1559	3314	-1	-1	-43
0.4	Base	GSI C	7429	7438	37990	1	1	-176
0.4	Base	GSIgroup1	693	693	700	-1	-1	-3
0.4	Base	GSIgroup10	7208	7203	17433	-5	-3	-102
0.4	Base	GSIgroup2	652	653	652	2	2	1
0.4	Base	GSIgroup4	1268	1268	1257	4	4	1
0.4	Base	GSIgroup5	1526	1526	1556	1	2	-6
0.4	Base	GSIgroup7	1819	1819	1811	3	3	-1
0.4	Base	GSIgroup8	2992	2992	7951	-2	-2	-71
0.4	Base	PBT A	254	254	250	0	0	1
0.4	Base	PBT B	1091	1096	3687	1	0	53
0.4	Base	PBT C	597	596	3610	-2	-2	58
0.4	Base	pbtGroup1	181	181	199	0	0	7
0.4	Base	pbtGroup10	274	274	269	0	0	4
0.4	Base	pbtGroup12	306	306	298	0	0	2
0.4	Base	pbtGroup13	335	335	421	0	0	12
0.4	Base	pbtGroup14	423	423	417	0	0	3
0.4	Base	pbtGroup15	539	539	1094	0	0	27
0.4	Base	pbtGroup16	514	514	509	0	0	2
0.4	Base	pbtGroup17	635	635	639	-1	-1	7
0.4	Base	pbtGroup18	827	829	1031	1	0	17
0.4	Base	pbtGroup19	675	675	1003	1	1	20
0.4	Base	pbtGroup2	227	227	512	1	1	20
0.4	Base	pbtGroup20	817	817	1375	1	1	26
0.4	Base	pbtGroup21	760	760	763	1	1	4
0.4	Base	pbtGroup22	1094	1095	3773	0	0	55
0.4	Base	pbtGroup23	964	969	1022	-1	-2	11
0.4	Base	pbtGroup25	2277	2278	5325	1	1	58
0.4	Base	pbtGroup3	191	191	191	0	0	0
0.4	Base	pbtGroup4	245	245	233	-1	-1	2
0.4	Base	pbtGroup5	285	285	278	-1	-1	0
0.4	Base	pbtGroup6	234	234	254	1	1	7
0.4	Base	pbtGroup7	252	252	251	0	0	4
0.4	Base	pbtGroup9	259	259	255	0	0	1
0.2	1	GSI A	2859	2851	6423	-2	1	-38
0.2	1	GSI B	3499	3508	7028	-2	-1	-39
0.2	1	GSI C	13342	13348	16825	2	3	-38
0.2	1	GSIgroup1	1634	1635	5372	-4	-1	-40
0.2	1	GSIgroup10	13853	13845	17518	2	3	-37
0.2	1	GSIgroup2	1575	1633	5140	-3	3	-39
