sr	group	type	MSE
0.35	GSIgroup5	TotEx	1715
0.35	GSIgroup6	TotEx	2258
0.35	GSIgroup7	TotEx	2047
0.35	GSIgroup8	TotEx	3482
0.35	GSIgroup9	TotEx	10384
0.35	pbtGroup1	TotEx	NA
0.35	pbtGroup10	TotEx	NA
0.35	pbtGroup11	TotEx	NA
0.35	pbtGroup12	TotEx	NA
0.35	pbtGroup13	TotEx	NA
0.35	pbtGroup14	TotEx	NA
0.35	pbtGroup15	TotEx	NA
0.35	pbtGroup16	TotEx	NA
0.35	pbtGroup17	TotEx	NA
0.35	pbtGroup18	TotEx	NA
0.35	pbtGroup19	TotEx	NA
0.35	pbtGroup2	TotEx	NA
0.35	pbtGroup20	TotEx	NA
0.35	pbtGroup21	TotEx	NA
0.35	pbtGroup22	TotEx	NA
0.35	pbtGroup23	TotEx	NA
0.35	pbtGroup24	TotEx	NA
0.35	pbtGroup25	TotEx	NA
0.35	pbtGroup3	TotEx	NA
0.35	pbtGroup4	TotEx	NA
0.35	pbtGroup5	TotEx	NA
0.35	pbtGroup6	TotEx	NA
0.35	pbtGroup7	TotEx	NA
0.35	pbtGroup8	TotEx	NA
0.35	pbtGroup9	TotEx	NA
0.4	GSIgroup1	TotEx	679
0.4	GSIgroup10	TotEx	7056
0.4	GSIgroup2	TotEx	704
0.4	GSIgroup3	TotEx	1225
0.4	GSIgroup4	TotEx	1496
0.4	GSIgroup5	TotEx	1586
0.4	GSIgroup6	TotEx	1827
0.4	GSIgroup7	TotEx	2169
0.4	GSIgroup8	TotEx	3049
0.4	GSIgroup9	TotEx	9897
0.4	pbtGroup1	TotEx	NA
0.4	pbtGroup10	TotEx	NA
0.4	pbtGroup11	TotEx	NA
0.4	pbtGroup12	TotEx	NA
0.4	pbtGroup13	TotEx	NA
0.4	pbtGroup14	TotEx	NA
0.4	pbtGroup15	TotEx	NA
0.4	pbtGroup16	TotEx	NA
0.4	pbtGroup17	TotEx	NA
0.4	pbtGroup18	TotEx	NA
0.4	pbtGroup19	TotEx	NA
0.4	pbtGroup2	TotEx	NA
0.4	pbtGroup20	TotEx	NA
0.4	pbtGroup21	TotEx	NA
0.4	pbtGroup22	TotEx	NA
0.4	pbtGroup23	TotEx	NA
0.4	pbtGroup24	TotEx	NA
0.4	pbtGroup25	TotEx	NA
0.4	pbtGroup3	TotEx	NA
0.4	pbtGroup4	TotEx	NA
0.4	pbtGroup5	TotEx	NA
0.4	pbtGroup6	TotEx	NA
0.4	pbtGroup7	TotEx	NA
0.4	pbtGroup8	TotEx	NA
0.4	pbtGroup9	TotEx	NA
0.05	GSIgroup1	Ac	5455
0.05	GSIgroup10	Ac	55021
0.05	GSIgroup2	Ac	5954
0.05	GSIgroup3	Ac	9342
0.05	GSIgroup4	Ac	11183
0.05	GSIgroup5	Ac	10598
0.05	GSIgroup6	Ac	14726
0.05	GSIgroup7	Ac	14396
0.05	GSIgroup8	Ac	24891
0.05	GSIgroup9	Ac	55829
0.05	pbtGroup1	Ac	1507
0.05	pbtGroup10	Ac	2221
0.05	pbtGroup11	Ac	4913
0.05	pbtGroup12	Ac	2657
0.05	pbtGroup13	Ac	2596
0.05	pbtGroup14	Ac	3292
0.05	pbtGroup15	Ac	4258
0.05	pbtGroup16	Ac	3949
0.05	pbtGroup17	Ac	5194
0.05	pbtGroup18	Ac	7219
0.05	pbtGroup19	Ac	5670
0.05	pbtGroup2	Ac	2151
0.05	pbtGroup20	Ac	7537
0.05	pbtGroup21	Ac	6492
0.05	pbtGroup22	Ac	8376
0.05	pbtGroup23	Ac	8012
0.05	pbtGroup24	Ac	8941
0.05	pbtGroup25	Ac	19613
0.05	pbtGroup3	Ac	1665
0.05	pbtGroup4	Ac	2055
0.05	pbtGroup5	Ac	2171
0.05	pbtGroup6	Ac	1856
0.05	pbtGroup7	Ac	2032
0.05	pbtGroup8	Ac	1881
0.05	pbtGroup9	Ac	2316
0.075	GSIgroup1	Ac	3814
0.075	GSIgroup10	Ac	37830
0.075	GSIgroup2	Ac	3594
0.075	GSIgroup3	Ac	6265
0.075	GSIgroup4	Ac	6918
0.075	GSIgroup5	Ac	7969
0.075	GSIgroup6	Ac	9455
0.075	GSIgroup7	Ac	9924
0.075	GSIgroup8	Ac	15147
0.075	GSIgroup9	Ac	38501
0.075	pbtGroup1	Ac	893
0.075	pbtGroup10	Ac	1546
0.075	pbtGroup11	Ac	3481
0.075	pbtGroup12	Ac	1575
0.075	pbtGroup13	Ac	1652
0.075	pbtGroup14	Ac	2112
0.075	pbtGroup15	Ac	2580
0.075	pbtGroup16	Ac	2971
0.075	pbtGroup17	Ac	3320
0.075	pbtGroup18	Ac	4499
0.075	pbtGroup19	Ac	3526
0.075	pbtGroup2	Ac	1092
0.075	pbtGroup20	Ac	4683
0.075	pbtGroup21	Ac	4179
