sr	group	type	ER
0.05	pbtGroup6	TotEx	NA
0.05	pbtGroup7	TotEx	NA
0.05	pbtGroup8	TotEx	NA
0.05	pbtGroup9	TotEx	NA
0.075	GSIgroup1	TotEx	3
0.075	GSIgroup10	TotEx	23
0.075	GSIgroup2	TotEx	9
0.075	GSIgroup3	TotEx	14
0.075	GSIgroup4	TotEx	14
0.075	GSIgroup5	TotEx	11
0.075	GSIgroup6	TotEx	-15
0.075	GSIgroup7	TotEx	16
0.075	GSIgroup8	TotEx	-21
0.075	GSIgroup9	TotEx	-61
0.075	pbtGroup1	TotEx	NA
0.075	pbtGroup10	TotEx	NA
0.075	pbtGroup11	TotEx	NA
0.075	pbtGroup12	TotEx	NA
0.075	pbtGroup13	TotEx	NA
0.075	pbtGroup14	TotEx	NA
0.075	pbtGroup15	TotEx	NA
0.075	pbtGroup16	TotEx	NA
0.075	pbtGroup17	TotEx	NA
0.075	pbtGroup18	TotEx	NA
0.075	pbtGroup19	TotEx	NA
0.075	pbtGroup2	TotEx	NA
0.075	pbtGroup20	TotEx	NA
0.075	pbtGroup21	TotEx	NA
0.075	pbtGroup22	TotEx	NA
0.075	pbtGroup23	TotEx	NA
0.075	pbtGroup24	TotEx	NA
0.075	pbtGroup25	TotEx	NA
0.075	pbtGroup3	TotEx	NA
0.075	pbtGroup4	TotEx	NA
0.075	pbtGroup5	TotEx	NA
0.075	pbtGroup6	TotEx	NA
0.075	pbtGroup7	TotEx	NA
0.075	pbtGroup8	TotEx	NA
0.075	pbtGroup9	TotEx	NA
0.1	GSIgroup1	TotEx	5
0.1	GSIgroup10	TotEx	12
0.1	GSIgroup2	TotEx	8
0.1	GSIgroup3	TotEx	12
0.1	GSIgroup4	TotEx	15
0.1	GSIgroup5	TotEx	9
0.1	GSIgroup6	TotEx	-16
0.1	GSIgroup7	TotEx	18
0.1	GSIgroup8	TotEx	-11
0.1	GSIgroup9	TotEx	-56
0.1	pbtGroup1	TotEx	NA
0.1	pbtGroup10	TotEx	NA
0.1	pbtGroup11	TotEx	NA
0.1	pbtGroup12	TotEx	NA
0.1	pbtGroup13	TotEx	NA
0.1	pbtGroup14	TotEx	NA
0.1	pbtGroup15	TotEx	NA
0.1	pbtGroup16	TotEx	NA
0.1	pbtGroup17	TotEx	NA
0.1	pbtGroup18	TotEx	NA
0.1	pbtGroup19	TotEx	NA
0.1	pbtGroup2	TotEx	NA
0.1	pbtGroup20	TotEx	NA
