sr	group	covSD	covMLE
0.4	pbtGroup11	0.896	0.896
0.4	pbtGroup12	0.906	0.902
0.4	pbtGroup13	0.872	0.874
0.4	pbtGroup14	0.894	0.892
0.4	pbtGroup15	0.904	0.908
0.4	pbtGroup16	0.896	0.892
0.4	pbtGroup17	0.88	0.88
0.4	pbtGroup18	0.902	0.908
0.4	pbtGroup19	0.908	0.904
0.4	pbtGroup2	0.89	0.892
0.4	pbtGroup20	0.912	0.912
0.4	pbtGroup21	0.912	0.908
0.4	pbtGroup22	0.888	0.884
0.4	pbtGroup23	0.914	0.92
0.4	pbtGroup24	0.898	0.882
0.4	pbtGroup25	0.908	0.906
0.4	pbtGroup3	0.902	0.904
0.4	pbtGroup4	0.91	0.906
0.4	pbtGroup5	0.87	0.874
0.4	pbtGroup6	0.9	0.9
0.4	pbtGroup7	0.894	0.894
0.4	pbtGroup8	0.882	0.884
0.4	pbtGroup9	0.92	0.918
